"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.61656e+004,-3.32232e+002,8.57443e-001,-1.34856e-001,1.22810e+001,6.08973e+000,1.78692e+000,1,4.72000e+002,-1.52800e+003,0.00000e+000,0.00000e+000
-8.61638e+004,-3.32220e+002,8.58459e-001,-1.56885e-001,1.22557e+001,6.07140e+000,1.78783e+000,1,4.76000e+002,-1.52400e+003,0.00000e+000,0.00000e+000
-8.61620e+004,-3.32208e+002,8.59475e-001,-1.78914e-001,1.22304e+001,6.05307e+000,1.78874e+000,1,4.80000e+002,-1.52000e+003,0.00000e+000,0.00000e+000
-8.61593e+004,-3.32200e+002,8.63783e-001,-1.90927e-001,1.22013e+001,6.03374e+000,1.78947e+000,1,4.84000e+002,-1.51600e+003,0.00000e+000,0.00000e+000
-8.61567e+004,-3.32192e+002,8.68091e-001,-2.02940e-001,1.21722e+001,6.01441e+000,1.79020e+000,1,4.88000e+002,-1.51200e+003,0.00000e+000,0.00000e+000
-8.61541e+004,-3.32184e+002,8.72400e-001,-2.14952e-001,1.21430e+001,5.99509e+000,1.79093e+000,1,4.92000e+002,-1.50800e+003,0.00000e+000,0.00000e+000
-8.61514e+004,-3.32176e+002,8.76708e-001,-2.26965e-001,1.21139e+001,5.97576e+000,1.79167e+000,1,4.96000e+002,-1.50400e+003,0.00000e+000,0.00000e+000
-8.61488e+004,-3.32168e+002,8.81016e-001,-2.38977e-001,1.20848e+001,5.95643e+000,1.79240e+000,1,5.00000e+002,-1.50000e+003,0.00000e+000,0.00000e+000
-8.61462e+004,-3.32160e+002,8.85324e-001,-2.50990e-001,1.20557e+001,5.93710e+000,1.79313e+000,1,5.04000e+002,-1.49600e+003,0.00000e+000,0.00000e+000
-8.61435e+004,-3.32152e+002,8.89632e-001,-2.63003e-001,1.20265e+001,5.91777e+000,1.79386e+000,1,5.08000e+002,-1.49200e+003,0.00000e+000,0.00000e+000
-8.61409e+004,-3.32144e+002,8.93940e-001,-2.75015e-001,1.19974e+001,5.89845e+000,1.79459e+000,1,5.12000e+002,-1.48800e+003,0.00000e+000,0.00000e+000
-8.61383e+004,-3.32136e+002,8.98248e-001,-2.87028e-001,1.19683e+001,5.87912e+000,1.79533e+000,1,5.16000e+002,-1.48400e+003,0.00000e+000,0.00000e+000
-8.61356e+004,-3.32128e+002,9.02556e-001,-2.99040e-001,1.19392e+001,5.85979e+000,1.79606e+000,1,5.20000e+002,-1.48000e+003,0.00000e+000,0.00000e+000
-8.61330e+004,-3.32120e+002,9.06864e-001,-3.11053e-001,1.19100e+001,5.84046e+000,1.79679e+000,1,5.24000e+002,-1.47600e+003,0.00000e+000,0.00000e+000
-8.61304e+004,-3.32112e+002,9.11172e-001,-3.23066e-001,1.18809e+001,5.82113e+000,1.79752e+000,1,5.28000e+002,-1.47200e+003,0.00000e+000,0.00000e+000
-8.61278e+004,-3.32104e+002,9.15480e-001,-3.35078e-001,1.18518e+001,5.80181e+000,1.79825e+000,1,5.32000e+002,-1.46800e+003,0.00000e+000,0.00000e+000
-8.61251e+004,-3.32096e+002,9.19788e-001,-3.47091e-001,1.18227e+001,5.78248e+000,1.79898e+000,1,5.36000e+002,-1.46400e+003,0.00000e+000,0.00000e+000
-8.61225e+004,-3.32088e+002,9.24096e-001,-3.59103e-001,1.17935e+001,5.76315e+000,1.79972e+000,1,5.40000e+002,-1.46000e+003,0.00000e+000,0.00000e+000
-8.61199e+004,-3.32080e+002,9.28404e-001,-3.71116e-001,1.17644e+001,5.74382e+000,1.80045e+000,1,5.44000e+002,-1.45600e+003,0.00000e+000,0.00000e+000
-8.61172e+004,-3.32072e+002,9.32712e-001,-3.83128e-001,1.17353e+001,5.72449e+000,1.80118e+000,1,5.48000e+002,-1.45200e+003,0.00000e+000,0.00000e+000
-8.61146e+004,-3.32063e+002,9.37020e-001,-3.95141e-001,1.17062e+001,5.70516e+000,1.80191e+000,1,5.52000e+002,-1.44800e+003,0.00000e+000,0.00000e+000
-8.61120e+004,-3.32055e+002,9.41328e-001,-4.07154e-001,1.16770e+001,5.68584e+000,1.80264e+000,1,5.56000e+002,-1.44400e+003,0.00000e+000,0.00000e+000
-8.61093e+004,-3.32047e+002,9.45637e-001,-4.19166e-001,1.16479e+001,5.66651e+000,1.80338e+000,1,5.60000e+002,-1.44000e+003,0.00000e+000,0.00000e+000
-8.61069e+004,-3.32034e+002,9.49001e-001,-4.28328e-001,1.16263e+001,5.64974e+000,1.80455e+000,1,5.64000e+002,-1.43600e+003,0.00000e+000,0.00000e+000
-8.61044e+004,-3.32020e+002,9.52367e-001,-4.37490e-001,1.16047e+001,5.63297e+000,1.80572e+000,1,5.68000e+002,-1.43200e+003,0.00000e+000,0.00000e+000
-8.61019e+004,-3.32007e+002,9.55732e-001,-4.46652e-001,1.15831e+001,5.61621e+000,1.80689e+000,1,5.72000e+002,-1.42800e+003,0.00000e+000,0.00000e+000
-8.60995e+004,-3.31993e+002,9.59097e-001,-4.55814e-001,1.15615e+001,5.59944e+000,1.80807e+000,1,5.76000e+002,-1.42400e+003,0.00000e+000,0.00000e+000
